bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI69488,2025,Qtr 2,Employees,Basic personal identifiers,Not Yet Assigned,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI69488,2025,Qtr 2,Employees,Economic and financial data,Not Yet Assigned,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI69489,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69491,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,More than 1 week
BI69494,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,24 hours to 72 hours
BI69502,2025,Qtr 2,Employees,Basic personal identifiers,Not Yet Assigned,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,More than 1 week
BI69529,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI69529,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI69548,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI69548,2025,Qtr 2,Patients,Data revealing racial or ethnic origin,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI69548,2025,Qtr 2,Patients,Official documents,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI69556,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI69556,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI69556,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI69556,2025,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,More than 1 week
BI69563,2025,Qtr 2,Students,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,More than 1 week
BI69563,2025,Qtr 2,Students,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,More than 1 week
BI69563,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,More than 1 week
BI69563,2025,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Health,More than 1 week
BI69565,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI69565,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI69568,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Other non-cyber incident,10 to 99,Health,72 hours to 1 week
BI69568,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Other non-cyber incident,10 to 99,Health,72 hours to 1 week
BI69591,2025,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,Unknown,Health,Less than 24 hours
BI69596,2025,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI69603,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,Less than 24 hours
BI69611,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,Less than 24 hours
BI69611,2025,Qtr 2,Patients,Data revealing racial or ethnic origin,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,Less than 24 hours
BI69611,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,Less than 24 hours
BI69611,2025,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,Less than 24 hours
BI69611,2025,Qtr 2,Children,Data revealing racial or ethnic origin,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,Less than 24 hours
BI69611,2025,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,Less than 24 hours
